Material,Description,Length,Wire,Left Terminal,Right Terminal,Left Seal,Right Seal,Material,Description,Length,Wire,Left Terminal,Right Terminal,Left Seal,Right Seal,Length Difference,Comment
S002467004,Circuit 0023 FLRYA 0.5 B,610,C9703930,7116568302,,,,S001887095,Circuit 0032 FLRYA 0.5 B GD135C GD135B,570,C9703930,7116568302,,,,40,Length Difference
S002467009,Circuit 0028 FLRYB 6 B,370,H2806730,,,,,S002004047,Circuit 0026 FLRYB 6 B,360,H2806730,,,,,10,Length Difference
S002467018,Circuit 0012 FLRYB 2.5 B,1760,H2807030,7116415202,7116820302,7158311340,,S001192680,Circuit 0025 FLRYB 2.5 B,1735,H2807030,7116820302,7116415202,,7158311340,25,Length Difference
S002467018,Circuit 0012 FLRYB 2.5 B,1760,H2807030,7116415202,7116820302,7158311340,,S001192801,Circuit 0024 FLRYB 2.5 B,1735,H2807030,7116820302,7116415202,,7158311340,25,Length Difference
S002467018,Circuit 0012 FLRYB 2.5 B,1760,H2807030,7116415202,7116820302,7158311340,,S001192680,Circuit 0025 FLRYB 2.5 B,1735,H2807030,7116820302,7116415202,,7158311340,25,Length Difference
S002467018,Circuit 0012 FLRYB 2.5 B,1760,H2807030,7116415202,7116820302,7158311340,,S001192801,Circuit 0024 FLRYB 2.5 B,1735,H2807030,7116820302,7116415202,,7158311340,25,Length Difference
S002473399,Circuit 0021 FLRYB 6 B,400,H2806730,,,,,S002004047,Circuit 0026 FLRYB 6 B,360,H2806730,,,,,40,Length Difference
S003406229,Circuit 0005 FLRYA 0.5 B/G,1590,C9703936,7116697102,,,,S003418605,Circuit 0108 FLRYA 0.5 B/G,1580,C9703936,7116697102,7116410202,,7157337950,10,Length Difference
S003650388,Circuit 0041 FLRYA 0.5 B,970,C9703930,7114654602,7116568302,,,S003467604,Circuit 0018 FLRYA 0.5 B,920,C9703930,7116568302,7114654602,,,50,Length Difference
S003661235,Circuit 0035 FLRYB 2.5 B,530,H2807030,7114198302,,,,S003470699,Circuit 0001 FLRYB 2.5 B,490,H2807030,7114198302,,,,40,Length Difference
S003661235,Circuit 0035 FLRYB 2.5 B,530,H2807030,7114198302,,,,S003468232,Circuit 0021 FLRYB 2.5 B,485,H2807030,7114198302,,,,45,Length Difference
S002467018,Circuit 0012 FLRYB 2.5 B,1760,H2807030,7116415202,7116820302,7158311340,,S001193830,Circuit 0021 FLRYB 2.5 B,1740,H2807030,7116427202,7116415202,,7158311340,20,7116820302
S002467018,Circuit 0012 FLRYB 2.5 B,1760,H2807030,7116415202,7116820302,7158311340,,S001195686,Circuit 0020 FLRYB 2.5 B,1740,H2807030,7116427202,7116415202,,7158311340,20,7116820302
S002467018,Circuit 0012 FLRYB 2.5 B,1760,H2807030,7116415202,7116820302,7158311340,,S001193830,Circuit 0021 FLRYB 2.5 B,1740,H2807030,7116427202,7116415202,,7158311340,20,7116820302
S002467018,Circuit 0012 FLRYB 2.5 B,1760,H2807030,7116415202,7116820302,7158311340,,S001195686,Circuit 0020 FLRYB 2.5 B,1740,H2807030,7116427202,7116415202,,7158311340,20,7116820302
S002467614,Circuit 0030 FLRYA 0.5 B,665,C9703930,7116568302,,,,S003418730,Circuit 0056 FLRYA 0.5 B,635,C9703930,7114410002,7114700102,,,30,7116568302
S002467614,Circuit 0030 FLRYA 0.5 B,665,C9703930,7116568302,,,,S003467704,Circuit 0024 FLRYA 0.5 B,640,C9703930,7114654602,7114700102,,,25,7116568302
S002467614,Circuit 0030 FLRYA 0.5 B,665,C9703930,7116568302,,,,S003467811,Circuit 0025 FLRYA 0.5 B,635,C9703930,7114654602,7114700102,,,30,7116568302
S002467614,Circuit 0030 FLRYA 0.5 B,665,C9703930,7116568302,,,,S003467876,Circuit 0007 FLRYA 0.5 B,640,C9703930,7114654602,7114700102,,,25,7116568302
S002467614,Circuit 0030 FLRYA 0.5 B,665,C9703930,7116568302,,,,S003651295,Circuit 0025 FLRYA 0.5 B,640,C9703930,7114700102,7114654602,,,25,7116568302
S002467618,Circuit 0042 FLRYA 0.75 B,525,C9704030,7114439502,,,,S001887060,Circuit 0027 FLRYA 0.75 B,475,C9704030,7114470802,,,,50,7114439502
S002467618,Circuit 0042 FLRYA 0.75 B,525,C9704030,7114439502,,,,S004551710,Circuit 0079 FLRYA 0.75 B,500,C9704030,7114470802,,,,25,7114439502
S002467628,Circuit 0003 FLRYB 2.5 B,1790,H2807030,7116488002,7116427202,7158311340,,S001193830,Circuit 0021 FLRYB 2.5 B,1740,H2807030,7116427202,7116415202,,7158311340,50,7116488002
S002467628,Circuit 0003 FLRYB 2.5 B,1790,H2807030,7116488002,7116427202,7158311340,,S001195686,Circuit 0020 FLRYB 2.5 B,1740,H2807030,7116427202,7116415202,,7158311340,50,7116488002
S002467628,Circuit 0003 FLRYB 2.5 B,1790,H2807030,7116488002,7116427202,7158311340,,S002915438,Circuit 0020 FLRYB 2.5 B,1760,H2807030,7116427202,7116415202,,7158311340,30,7116488002
S002467628,Circuit 0003 FLRYB 2.5 B,1790,H2807030,7116488002,7116427202,7158311340,,S001193830,Circuit 0021 FLRYB 2.5 B,1740,H2807030,7116427202,7116415202,,7158311340,50,7116488002
S002467628,Circuit 0003 FLRYB 2.5 B,1790,H2807030,7116488002,7116427202,7158311340,,S001195686,Circuit 0020 FLRYB 2.5 B,1740,H2807030,7116427202,7116415202,,7158311340,50,7116488002
S002467628,Circuit 0003 FLRYB 2.5 B,1790,H2807030,7116488002,7116427202,7158311340,,S002915438,Circuit 0020 FLRYB 2.5 B,1760,H2807030,7116427202,7116415202,,7158311340,30,7116488002
S002467638,Circuit 0027 FLRYB 2.5 B,1790,H2807030,7116488002,7116427202,7158311340,,S001193830,Circuit 0021 FLRYB 2.5 B,1740,H2807030,7116427202,7116415202,,7158311340,50,7116488002
S002467638,Circuit 0027 FLRYB 2.5 B,1790,H2807030,7116488002,7116427202,7158311340,,S001195686,Circuit 0020 FLRYB 2.5 B,1740,H2807030,7116427202,7116415202,,7158311340,50,7116488002
S002467638,Circuit 0027 FLRYB 2.5 B,1790,H2807030,7116488002,7116427202,7158311340,,S002915438,Circuit 0020 FLRYB 2.5 B,1760,H2807030,7116427202,7116415202,,7158311340,30,7116488002
S002467638,Circuit 0027 FLRYB 2.5 B,1790,H2807030,7116488002,7116427202,7158311340,,S001193830,Circuit 0021 FLRYB 2.5 B,1740,H2807030,7116427202,7116415202,,7158311340,50,7116488002
S002467638,Circuit 0027 FLRYB 2.5 B,1790,H2807030,7116488002,7116427202,7158311340,,S001195686,Circuit 0020 FLRYB 2.5 B,1740,H2807030,7116427202,7116415202,,7158311340,50,7116488002
S002467638,Circuit 0027 FLRYB 2.5 B,1790,H2807030,7116488002,7116427202,7158311340,,S002915438,Circuit 0020 FLRYB 2.5 B,1760,H2807030,7116427202,7116415202,,7158311340,30,7116488002
S002467655,Circuit 0007 FLRYA 0.5 B,660,C9703930,72169241,,,,S003418730,Circuit 0056 FLRYA 0.5 B,635,C9703930,7114410002,7114700102,,,25,72169241
S002467655,Circuit 0007 FLRYA 0.5 B,660,C9703930,72169241,,,,S003467704,Circuit 0024 FLRYA 0.5 B,640,C9703930,7114654602,7114700102,,,20,72169241
S002467655,Circuit 0007 FLRYA 0.5 B,660,C9703930,72169241,,,,S003467811,Circuit 0025 FLRYA 0.5 B,635,C9703930,7114654602,7114700102,,,25,72169241
S002467655,Circuit 0007 FLRYA 0.5 B,660,C9703930,72169241,,,,S003467876,Circuit 0007 FLRYA 0.5 B,640,C9703930,7114654602,7114700102,,,20,72169241
S002467655,Circuit 0007 FLRYA 0.5 B,660,C9703930,72169241,,,,S003651295,Circuit 0025 FLRYA 0.5 B,640,C9703930,7114700102,7114654602,,,20,72169241
S002467657,Circuit 0032 FLRYA 0.5 B,660,C9703930,,7116427002,,,S003418730,Circuit 0056 FLRYA 0.5 B,635,C9703930,7114410002,7114700102,,,25,7116427002
S002467657,Circuit 0032 FLRYA 0.5 B,660,C9703930,,7116427002,,,S003467704,Circuit 0024 FLRYA 0.5 B,640,C9703930,7114654602,7114700102,,,20,7116427002
S002467657,Circuit 0032 FLRYA 0.5 B,660,C9703930,,7116427002,,,S003467811,Circuit 0025 FLRYA 0.5 B,635,C9703930,7114654602,7114700102,,,25,7116427002
S002467657,Circuit 0032 FLRYA 0.5 B,660,C9703930,,7116427002,,,S003467876,Circuit 0007 FLRYA 0.5 B,640,C9703930,7114654602,7114700102,,,20,7116427002
S002467657,Circuit 0032 FLRYA 0.5 B,660,C9703930,,7116427002,,,S003651295,Circuit 0025 FLRYA 0.5 B,640,C9703930,7114700102,7114654602,,,20,7116427002
S002467658,Circuit 0016 FLRYA 0.5 B,575,C9703930,7114439502,,,,S001887062,Circuit 0031 FLRYA 0.5 B,550,C9703930,7116568302,,,,25,7114439502
S002467658,Circuit 0016 FLRYA 0.5 B,575,C9703930,7114439502,,,,S001887095,Circuit 0032 FLRYA 0.5 B GD135C GD135B,570,C9703930,7116568302,,,,5,7114439502
S002467659,Circuit 0044 FLRYA 0.5 B,680,C9703930,72169241,,,,S003418730,Circuit 0056 FLRYA 0.5 B,635,C9703930,7114410002,7114700102,,,45,72169241
S002467659,Circuit 0044 FLRYA 0.5 B,680,C9703930,72169241,,,,S003467546,Circuit 0023 FRYA 0.5 B,670,C9703930,7114700102,7114429802,,,10,72169241
S002467659,Circuit 0044 FLRYA 0.5 B,680,C9703930,72169241,,,,S003467704,Circuit 0024 FLRYA 0.5 B,640,C9703930,7114654602,7114700102,,,40,72169241
S002467659,Circuit 0044 FLRYA 0.5 B,680,C9703930,72169241,,,,S003467811,Circuit 0025 FLRYA 0.5 B,635,C9703930,7114654602,7114700102,,,45,72169241
S002467659,Circuit 0044 FLRYA 0.5 B,680,C9703930,72169241,,,,S003467812,Circuit 0024 FLRYA 0.5 B,665,C9703930,7114429802,7114700102,,,15,72169241
S002467659,Circuit 0044 FLRYA 0.5 B,680,C9703930,72169241,,,,S003467876,Circuit 0007 FLRYA 0.5 B,640,C9703930,7114654602,7114700102,,,40,72169241
S002467659,Circuit 0044 FLRYA 0.5 B,680,C9703930,72169241,,,,S003651295,Circuit 0025 FLRYA 0.5 B,640,C9703930,7114700102,7114654602,,,40,72169241
S002473267,Circuit 0046 FLRYA 0.5 B,650,C9703930,7116568302,,,,S003418730,Circuit 0056 FLRYA 0.5 B,635,C9703930,7114410002,7114700102,,,15,7116568302
S002473267,Circuit 0046 FLRYA 0.5 B,650,C9703930,7116568302,,,,S003467704,Circuit 0024 FLRYA 0.5 B,640,C9703930,7114654602,7114700102,,,10,7116568302
S002473267,Circuit 0046 FLRYA 0.5 B,650,C9703930,7116568302,,,,S003467811,Circuit 0025 FLRYA 0.5 B,635,C9703930,7114654602,7114700102,,,15,7116568302
S002473267,Circuit 0046 FLRYA 0.5 B,650,C9703930,7116568302,,,,S003467876,Circuit 0007 FLRYA 0.5 B,640,C9703930,7114654602,7114700102,,,10,7116568302
S002473267,Circuit 0046 FLRYA 0.5 B,650,C9703930,7116568302,,,,S003651295,Circuit 0025 FLRYA 0.5 B,640,C9703930,7114700102,7114654602,,,10,7116568302
S002473299,Circuit 0043 FLRYB 2.5 B,620,H2807030,7116427202,,,,S003468238,Circuit 0027 FLRYB 2.5 B,570,H2807030,7114198302,,,,50,7116427202
S002473305,Circuit 0047 FLRYA 0.5 B,670,C9703930,72169241,,,,S003418730,Circuit 0056 FLRYA 0.5 B,635,C9703930,7114410002,7114700102,,,35,72169241
S002473305,Circuit 0047 FLRYA 0.5 B,670,C9703930,72169241,,,,S003467704,Circuit 0024 FLRYA 0.5 B,640,C9703930,7114654602,7114700102,,,30,72169241
S002473305,Circuit 0047 FLRYA 0.5 B,670,C9703930,72169241,,,,S003467811,Circuit 0025 FLRYA 0.5 B,635,C9703930,7114654602,7114700102,,,35,72169241
S002473305,Circuit 0047 FLRYA 0.5 B,670,C9703930,72169241,,,,S003467812,Circuit 0024 FLRYA 0.5 B,665,C9703930,7114429802,7114700102,,,5,72169241
S002473305,Circuit 0047 FLRYA 0.5 B,670,C9703930,72169241,,,,S003467876,Circuit 0007 FLRYA 0.5 B,640,C9703930,7114654602,7114700102,,,30,72169241
S002473305,Circuit 0047 FLRYA 0.5 B,670,C9703930,72169241,,,,S003651295,Circuit 0025 FLRYA 0.5 B,640,C9703930,7114700102,7114654602,,,30,72169241
S002473327,Circuit 0070 FLRYB 2.5 B,580,H2807030,7116173402,,,,S003468238,Circuit 0027 FLRYB 2.5 B,570,H2807030,7114198302,,,,10,7116173402
S002473398,Circuit 0001 FLRYB 2.5 B,250,H2807030,7116820302,,,,S001908434,Circuit 0022 FLRYB 2.5 B,210,H2807030,7116427202,,,,40,7116820302
S003251603,Circuit 0001 FLRYA 1 B,1575,C9706030,7116410302,7116410302,7158303190,7157339660,S004081581,Circuit 0054 FLRYA 1 B,1550,C9706030,,7116410302,,7157339660,25,7158303190
S003251603,Circuit 0001 FLRYA 1 B,1575,C9706030,7116410302,7116410302,7158303190,7157339660,S004081581,Circuit 0054 FLRYA 1 B,1550,C9706030,,7116410302,,7157339660,25,7158303190
S003251603,Circuit 0001 FLRYA 1 B,1575,C9706030,7116410302,7116410302,7158303190,7157339660,S004081581,Circuit 0054 FLRYA 1 B,1550,C9706030,,7116410302,,7157339660,25,7158303190
S003650617,Circuit 0026 FLRYA 0.5 B,925,C9703930,7114654602,7114439502,,,S003467604,Circuit 0018 FLRYA 0.5 B,920,C9703930,7116568302,7114654602,,,5,7114439502
S003650619,Circuit 0009 FLRYA 0.75 B,925,C9704030,7114198402,7114439502,,,S003468233,Circuit 0027 FLRYA 0.75 B,895,C9704030,7114198402,,,,30,7114439502
S003650619,Circuit 0009 FLRYA 0.75 B,925,C9704030,7114198402,7114439502,,,S003468272,Circuit 0026 FLRYA 0.75 B,920,C9704030,7114198402,,,,5,7114439502
S003650732,Circuit 0025 FLRYA 0.5 B,925,C9703930,7114654602,7114439502,,,S003467604,Circuit 0018 FLRYA 0.5 B,920,C9703930,7116568302,7114654602,,,5,7114439502
S003650737,Circuit 0008 FLRYA 0.75 B,535,C9704030,7114410102,,,,S004551710,Circuit 0079 FLRYA 0.75 B,500,C9704030,7114470802,,,,35,7114410102
S003650771,Circuit 0077 FLRYA 0.5 B,945,C9703930,7114654602,7196093902,,,S003467604,Circuit 0018 FLRYA 0.5 B,920,C9703930,7116568302,7114654602,,,25,7196093902
S003650792,Circuit 0012 FLRYA 0.75 B,565,C9704030,,7114410102,,,S001887061,Circuit 0029 FLRYA 0.75 B,550,C9704030,7116820202,,,,15,7114410102
S003650825,Circuit 0030 FLRYA 0.5 B,565,C9703930,7114654602,,,,S001887062,Circuit 0031 FLRYA 0.5 B,550,C9703930,7116568302,,,,15,7114654602
S003661232,Circuit 0008 FLRYA 0.5 B,1210,C9703930,7114654602,7116410202,,7157337950,S002576169,Circuit 0035 FLRYA 0.5 B,1165,C9703930,7116410202,,7157337950,,45,7114654602
S003661232,Circuit 0008 FLRYA 0.5 B,1210,C9703930,7114654602,7116410202,,7157337950,S002576169,Circuit 0035 FLRYA 0.5 B,1165,C9703930,7116410202,,7157337950,,45,7114654602
S003661233,Circuit 0019 FLRYA 0.5 B,1210,C9703930,7114654602,7116410202,,7157337950,S002576169,Circuit 0035 FLRYA 0.5 B,1165,C9703930,7116410202,,7157337950,,45,7114654602
S003661233,Circuit 0019 FLRYA 0.5 B,1210,C9703930,7114654602,7116410202,,7157337950,S002576169,Circuit 0035 FLRYA 0.5 B,1165,C9703930,7116410202,,7157337950,,45,7114654602
S003661323,Circuit 0074 FLRYA 0.5 B,930,C9703930,7114654602,7196093902,,,S003467604,Circuit 0018 FLRYA 0.5 B,920,C9703930,7116568302,7114654602,,,10,7196093902
S004544614,Circuit 0003 FLRYA 1.5 BR/Y,1520,C9706587,7116410402,7116427202,,,S004127491,Circuit 0035 FLRYA 1.5 BR/Y,1495,C9706587,7116390302,7116427202,,,25,7116410402
S004544615,Circuit 0004 FLRYA 1.5 W/G,1520,C9706546,7116410402,7116427202,,,S004127492,Circuit 0037 FLRYA 1.5 W/G,1495,C9706546,7116390302,7116427202,,,25,7116410402
